2024-02-24 20:22:55.247 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 20:28:30.119 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@76884e4b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@126945f9, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2a898881, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@16c63f5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@35229f85, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6d3c5255, org.springframework.test.context.transaction.TransactionalTestExecutionListener@b1712f3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6986bbaf, org.springframework.test.context.event.EventPublishingTestExecutionListener@4879dfad, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4758820d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@74eb909f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@28ec166e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2eee3069, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2da59753, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5629510]
2024-02-24 20:28:30.331 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Starting SprintBootDemoApplicationTests using Java 1.8.0_382 on Amit with PID 28820 (started by mailf in D:\workspace-spring-tool-suite\SprintBootDemo)
2024-02-24 20:28:30.333 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - No active profile set, falling back to default profiles: default
2024-02-24 20:28:30.897 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 20:28:30.965 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53 ms. Found 2 JPA repository interfaces.
2024-02-24 20:28:31.241 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$a96c172d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-02-24 20:28:31.268 [main] INFO  org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-02-24 20:28:31.452 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-24 20:28:31.694 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-24 20:28:31.745 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-24 20:28:31.788 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
2024-02-24 20:28:31.944 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-02-24 20:28:32.046 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-02-24 20:28:32.490 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-24 20:28:32.496 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:28:33.269 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-24 20:28:34.027 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Started SprintBootDemoApplicationTests in 3.872 seconds (JVM running for 4.765)
2024-02-24 20:28:34.166 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:28:34.169 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-24 20:28:34.173 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-24 20:30:58.585 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 20:30:58.591 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.microservice1.SprintBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-24 20:30:58.592 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.microservice1.SprintBootDemoApplicationTests]: SprintBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-24 20:30:58.670 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.microservice1.SprintBootDemoApplication for test class com.example.microservice1.SprintBootDemoApplicationTests
2024-02-24 20:30:58.729 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-24 20:30:58.770 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@126945f9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2a898881, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@16c63f5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@35229f85, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6d3c5255, org.springframework.test.context.support.DirtiesContextTestExecutionListener@b1712f3, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6986bbaf, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4879dfad, org.springframework.test.context.event.EventPublishingTestExecutionListener@4758820d, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74eb909f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@28ec166e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2eee3069, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2da59753, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5629510, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4df5bcb4]
2024-02-24 20:30:58.964 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Starting SprintBootDemoApplicationTests using Java 1.8.0_382 on Amit with PID 18932 (started by mailf in D:\workspace-spring-tool-suite\SprintBootDemo)
2024-02-24 20:30:58.966 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - No active profile set, falling back to default profiles: default
2024-02-24 20:30:59.534 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 20:30:59.594 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 2 JPA repository interfaces.
2024-02-24 20:30:59.861 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$242af72f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-02-24 20:30:59.885 [main] INFO  org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-02-24 20:31:00.068 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-24 20:31:00.342 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-24 20:31:00.384 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-24 20:31:00.417 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
2024-02-24 20:31:00.592 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-02-24 20:31:00.692 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-02-24 20:31:01.095 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-24 20:31:01.101 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:31:01.898 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-24 20:31:02.586 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Started SprintBootDemoApplicationTests in 3.784 seconds (JVM running for 4.66)
2024-02-24 20:31:02.723 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:31:02.726 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-24 20:31:02.731 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-24 20:54:51.565 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 20:54:51.571 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.microservice1.SprintBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-24 20:54:51.571 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.microservice1.SprintBootDemoApplicationTests]: SprintBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-24 20:54:51.649 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.microservice1.SprintBootDemoApplication for test class com.example.microservice1.SprintBootDemoApplicationTests
2024-02-24 20:54:51.709 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-24 20:54:51.740 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@16c63f5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@35229f85, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6d3c5255, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@b1712f3, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6986bbaf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4879dfad, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4758820d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@74eb909f, org.springframework.test.context.event.EventPublishingTestExecutionListener@28ec166e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2eee3069, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2da59753, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5629510, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4df5bcb4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@12c7a01b, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@13d9b21f]
2024-02-24 20:54:51.954 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Starting SprintBootDemoApplicationTests using Java 1.8.0_382 on Amit with PID 30624 (started by mailf in D:\workspace-spring-tool-suite\SprintBootDemo)
2024-02-24 20:54:51.957 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - No active profile set, falling back to default profiles: default
2024-02-24 20:54:52.529 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-24 20:54:52.597 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 58 ms. Found 2 JPA repository interfaces.
2024-02-24 20:54:52.851 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$242af72f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-02-24 20:54:52.875 [main] INFO  org.springframework.ws.soap.addressing.server.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
2024-02-24 20:54:53.047 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-24 20:54:53.321 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-24 20:54:53.368 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-24 20:54:53.400 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.4.Final
2024-02-24 20:54:53.575 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-02-24 20:54:53.675 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-02-24 20:54:54.088 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-24 20:54:54.094 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:54:54.878 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-02-24 20:54:55.533 [main] INFO  com.example.microservice1.SprintBootDemoApplicationTests - Started SprintBootDemoApplicationTests in 3.761 seconds (JVM running for 4.675)
2024-02-24 20:54:55.681 [SpringApplicationShutdownHook] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-24 20:54:55.685 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-24 20:54:55.691 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-24 21:02:50.345 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.microservice1.SprintBootDemoApplicationTests], using SpringBootContextLoader
2024-02-24 21:02:50.351 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.microservice1.SprintBootDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-24 21:02:50.352 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.microservice1.SprintBootDemoApplicationTests]: SprintBootDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
